date,k18,k21,k22,traditional,Log_Returns
2012-10-05,4236.089091564716,4947.60839780126,5175.143068700102,3183.24141405136,-0.0017096404786231098
2012-10-06,4229.311789045313,4939.786968737397,5167.3045307434395,3177.895835746419,-0.0016806993320064708
2012-10-07,4222.550471923462,4931.937495062237,5159.456149343227,3172.725260000152,-0.0016283688826116264
2012-10-08,4215.886264308164,4924.150869312523,5151.689807984882,3167.8034145478955,-0.0015525034877908132
2012-10-09,4209.4002903084165,4916.517984024999,5144.097390153813,3163.204027124978,-0.0014529719873018687
2012-10-10,4203.173674033218,4909.129731736409,5136.770779335442,3159.000825466737,-0.0013296634245540176
2012-10-11,4197.28753959157,4902.077004983495,5129.801859015182,3155.267537308504,-0.0011824928491351496
2012-10-12,4191.823011092469,4895.450696302998,5123.282512678447,3152.077890385614,-0.001011407170055262
2012-10-13,4186.8612126449125,4889.341698231665,5117.304623810653,3149.505612433398,-0.0008163910210608693
2012-10-14,4182.483268357903,4883.840903306235,5111.960075897216,3147.6244311871915,-0.0005974725912078215
2012-10-15,4178.7703023404365,4879.039204063455,5107.34075242355,3146.508074382327,-0.0003547293659874596
2012-10-16,4175.803438701513,4875.027493040066,5103.53853687507,3146.2302697541386,-8.829371671797729e-05
2012-10-17,4173.663801550132,4871.896662772811,5100.645312737192,3146.864745037959,0.00020164173096986427
2012-10-18,4172.432514995291,4869.737605798435,5098.752963495331,3148.4852279691213,0.0005148190248045325
2012-10-19,4172.19070314599,4868.641214653678,5097.953372634902,3151.16544628296,0.0008509101898335509
2012-10-20,4173.019490111226,4868.698381875285,5098.338423641319,3154.979127714809,0.0012095129922965507
2012-10-21,4175.0,4870.0,5100.0,3160.0,0.0015901472488244037
2012-10-22,4178.193656577848,4872.615190111588,5103.007853538097,3166.2827463590074,0.0019862369977528263
2012-10-23,4182.583082236452,4876.525987481918,5107.34320944973,3173.8058719528653,0.0023731936815560364
2012-10-24,4188.131199024039,4881.692655929878,5112.965161270755,3182.52883742775,0.0027446543801241162
2012-10-25,4194.800928988828,4888.07545927436,5119.832802537026,3192.4111034298357,0.003100350437683489
2012-10-26,4202.555194179042,4895.634661334252,5127.905226784402,3203.412130605297,0.0034400694396415675
2012-10-27,4211.356916642902,4904.330525928447,5137.141527548741,3215.4913796003084,0.003763653164262394
2012-10-28,4221.169018428634,4914.123316875835,5147.5007983659,3228.608311061048,0.004070995237805334
2012-10-29,4231.954421584458,4924.973297995306,5158.942132771732,3242.7223856336855,0.00436203854002641
2012-10-30,4243.676048158595,4936.840733105751,5171.424624302096,3257.7930639643996,0.004636772406360226
2012-10-31,4256.296820199271,4949.685886026058,5184.907366492852,3273.7798066993646,0.00489522967165025
2012-11-01,4269.779659754702,4963.46902057512,5199.349452879853,3290.642074484755,0.0051374835983339084
2012-11-02,4284.087488873116,4978.150400571827,5214.709976998955,3308.3393279667443,0.005363644729357804
2012-11-03,4299.183229602734,4993.69028983507,5230.948032386019,3326.83102779151,0.005573857703151339
2012-11-04,4315.029803991777,5010.048952183737,5248.0227125769,3346.076634605226,0.0057682980646702655
2012-11-05,4331.590134088467,5027.18665143672,5265.893111107452,3366.0356090540654,0.005947169103071657
2012-11-06,4348.8271419410285,5045.063651412911,5284.518321513537,3386.667411784206,0.006110698742954901
2012-11-07,4366.703749597683,5063.6402159311965,5303.857437331008,3407.931503441822,0.006259136512529368
2012-11-08,4385.182879106651,5082.876608810471,5323.869552095724,3429.7873446730873,0.006392750608517089
2012-11-09,4404.227452516157,5102.733093869624,5344.513759343541,3452.1943961241777,0.006511825074165057
2012-11-10,4423.800391874422,5123.169934927543,5365.749152610314,3475.1121184412664,0.006616657103484536
2012-11-11,4443.864619229668,5144.147395803122,5387.534825431904,3498.4999722705306,0.006707554481792751
2012-11-12,4464.3830566301185,5165.6257403152495,5409.8298713441645,3522.3174182581442,0.006784833169792883
2012-11-13,4485.318626123995,5187.5652322828155,5432.593383882952,3546.5239170502814,0.006848815035884693
2012-11-14,4506.634249759521,5209.926135524712,5455.784456584128,3571.078929293119,0.006899825739073252
2012-11-15,4528.292849584916,5232.668713859828,5479.362182983543,3595.9419156328304,0.0069381927628069965
