Date,Value,Rate_Log_Returns
2014-04-13,77.45666666666666,-8.606592655295435e-05
2014-04-14,77.45,-8.607333453404544e-05
2014-04-15,77.42,-0.0003874217133756239
2014-04-16,77.4,-0.00025836455382050895
2014-04-17,77.4,0.0
2014-04-18,77.4,0.0
2014-04-19,77.4,0.0
2014-04-20,77.4,0.0
2014-04-21,77.4,0.0
2014-04-22,77.38,-0.00025843132331466816
2014-04-23,77.38,0.0
2014-04-24,77.35,-0.0003877722532918222
2014-04-25,77.33,-0.00025859839813104665
2014-04-26,77.32,-0.00012932428081394788
2014-04-27,77.31,-0.00012934100774660468
2014-04-28,77.3,-0.00012935773900719526
2014-04-29,77.53,0.0029710026374915014
2014-04-30,77.53,0.0
2014-05-01,77.52,-0.0001289906483569243
2014-05-02,77.5,-0.0002580312232094097
2014-05-03,77.43333333333334,-0.0008605852510475396
2014-05-04,77.36666666666666,-0.0008613264959722234
2014-05-05,77.3,-0.0008620690189053755
2014-05-06,77.52,0.0028420119891344633
2014-05-07,77.53,0.00012899064835682344
2014-05-08,77.5,-0.0003870218715663137
2014-05-09,77.48,-0.0002580978205061262
2014-05-10,77.47,-0.00012907389498402727
2014-05-11,77.46000000000001,-0.00012909055720489732
2014-05-12,77.45,-0.00012910722372860362
2014-05-13,77.42,-0.0003874217133756239
2014-05-14,77.53,0.0014198130813655265
2014-05-15,77.43,-0.001290655832235338
2014-05-16,77.4,-0.0003875218029507505
2014-05-17,77.37333333333333,-0.00034458994138359566
2014-05-18,77.34666666666666,-0.0003447087245440171
2014-05-19,77.32,-0.000344827589623736
2014-05-20,77.42,0.0012924908093720994
2014-05-21,77.44,0.00025829781881953675
2014-05-22,77.42,-0.0002582978188194675
2014-05-23,77.4,-0.00025836455382050895
2014-05-24,77.39333333333333,-8.613635390148284e-05
2014-05-25,77.38666666666667,-8.614377401188368e-05
2014-05-26,77.38,-8.615119540120465e-05
2014-05-27,77.35,-0.0003877722532918222
2014-05-28,77.32,-0.0003879226789449784
2014-05-29,77.38,0.0007756949322367001
2014-05-30,77.36,-0.000258498127327938
2014-05-31,77.35666666666667,-4.308951848120563e-05
2014-06-01,77.35333333333332,-4.3091375268001994e-05
2014-06-02,77.35,-4.309323221445876e-05
2014-06-03,77.35,0.0
2014-06-04,77.42,0.0009045681304269146
2014-06-05,77.38,-0.0005167958771352641
2014-06-06,77.38,0.0
2014-06-07,77.39333333333333,0.0001722949694132225
2014-06-08,77.40666666666667,0.00017226528897033402
2014-06-09,77.42,0.00017223561875173376
2014-06-10,77.42,0.0
2014-06-11,77.52,0.0012908224330087756
2014-06-12,77.52,0.0
2014-06-13,77.48,-0.0005161290437155219
2014-06-14,77.49333333333334,0.00017207261506802502
2014-06-15,77.50666666666666,0.00017204301117678043
2014-06-16,77.52,0.00017201341747075772
2014-06-17,77.53,0.00012899064835682344
2014-06-18,77.38,-0.0019366089585008384
2014-06-19,77.35,-0.0003877722532918222
2014-06-20,77.33,-0.00025859839813104665
2014-06-21,77.32,-0.00012932428081394788
2014-06-22,77.31,-0.00012934100774660468
2014-06-23,77.3,-0.00012935773900719526
2014-06-24,77.53,0.0029710026374915014
2014-06-25,77.54,0.00012897401191559407
2014-06-26,77.54,0.0
2014-06-27,77.52,-0.0002579646602724043
2014-06-28,77.52,0.0
2014-06-29,77.52,0.0
2014-06-30,77.52,0.0
2014-07-01,77.52,0.0
2014-07-02,77.53,0.00012899064835682344
2014-07-03,77.54,0.00012897401191559407
2014-07-04,77.54,0.0
2014-07-05,77.54333333333334,4.2987641059819846e-05
2014-07-06,77.54666666666667,4.298579320189621e-05
2014-07-07,77.55,4.298394550294626e-05
2014-07-08,77.5,-0.000644953263246458
2014-07-09,77.55,0.0006449532632463751
2014-07-10,77.5,-0.000644953263246458
2014-07-11,77.5,0.0
2014-07-12,77.49333333333334,-8.602520543817311e-05
2014-07-13,77.48666666666666,-8.603260641096499e-05
2014-07-14,77.48,-8.604000865701393e-05
2014-07-15,77.48,0.0
2014-07-16,77.46,-0.0002581644521891018
2014-07-17,77.42,-0.0005165289371039668
2014-07-18,77.4,-0.00025836455382050895
2014-07-19,77.42333333333333,0.0003014188237344439
2014-07-20,77.44666666666667,0.00030132799780332374
2014-07-21,77.47,0.0003012372265921188
2014-07-22,77.43,-0.000516462245178913
2014-07-23,77.4,-0.0003875218029507505
2014-07-24,77.38,-0.00025843132331466816
2014-07-25,77.38,0.0
2014-07-26,77.37666666666667,-4.307838112106765e-05
2014-07-27,77.37333333333333,-4.308023694790316e-05
2014-07-28,77.37,-4.308209293473214e-05
2014-07-29,77.33,-0.0005171299404191036
2014-07-30,77.33,0.0
2014-07-31,77.32,-0.00012932428081394788
2014-08-01,77.3,-0.00025869874675377776
2014-08-02,77.33333333333333,0.00043112740482406615
2014-08-03,77.36666666666667,0.00043094161408149833
2014-08-04,77.4,0.00043075598339976164
2014-08-05,77.48,0.0010330579431135946
2014-08-06,77.47,-0.00012907389498402727
2014-08-07,77.45,-0.0002581977809334901
2014-08-08,77.43,-0.0002582644642453961
2014-08-09,77.44,0.00012914056968931149
2014-08-10,77.45,0.00012912389455608492
2014-08-11,77.46,0.00012910722372835742
2014-08-12,77.47,0.00012909055720501913
2014-08-13,77.43,-0.000516462245178913
2014-08-14,77.4,-0.0003875218029507505
2014-08-15,77.4,0.0
2014-08-16,77.4,0.0
2014-08-17,77.4,0.0
2014-08-18,77.4,0.0
2014-08-19,77.42,0.00025836455382064415
2014-08-20,77.4,-0.00025836455382050895
2014-08-21,77.38,-0.00025843132331466816
2014-08-22,77.35,-0.0003877722532918222
2014-08-23,77.35,0.0
2014-08-24,77.35,0.0
2014-08-25,77.35,0.0
2014-08-26,77.39,0.0005169962632926238
2014-08-27,77.04,-0.00453280579249753
2014-08-28,77.03,-0.00012981112499578943
2014-08-29,77.02,-0.00012982797811171974
2014-08-30,77.13,0.0014271815591450105
